ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000003410,17.25,21.53,19.14,27.37,31.61,33.11,28.34,23.64
ENSMLUG00000013771,39.35,23.45,34.17,13.55,62.87,48.74,0,0
ENSMLUG00000011846,21.47,13.65,28.91,0,26.75,26.54,21.89,28.48
ENSMLUG00000003807,20.89,0,0,0,35.79,15.42,32.07,7.19
ENSMLUG00000012399,0,179.13,88.1,77.52,74.83,555.63,322.2,225.35
ENSMLUG00000009748,0,0,0,0,0,0,13.15,0
ENSMLUG00000002730,0,0,11.83,4.35,8.8,0,0,0
ENSMLUG00000016355,28.54,43.19,25.5,53.32,59.58,0,57.79,63.97
ENSMLUG00000002441,30.23,67.51,7.57,72.02,47.94,228.99,37.17,55.13
ENSMLUG00000003490,26.31,15.16,16.79,17.79,47.35,0,0,0
ENSMLUG00000014740,187.72,252.48,289.84,189.61,126.93,311.08,230.23,196.6
ENSMLUG00000009088,66.02,71,39.77,35.53,70.38,27.83,34.59,44.83
ENSMLUG00000024457,154.33,17.68,26.46,0,11.05,24.15,21.15,0
ENSMLUG00000006247,44.41,34.87,36.78,25.53,49.93,37.33,0,54.65
ENSMLUG00000001735,27.7,25.64,28.16,28.23,32.14,50.47,16.23,14.25
ENSMLUG00000029138,11.95,22.33,19.26,8.53,16.32,12.24,26.61,0
ENSMLUG00000017783,19.12,12.8,12.89,8.06,24.23,32.94,0,22.82
ENSMLUG00000004530,11,0,12.12,22.2,25.65,14.15,0,10.11
ENSMLUG00000004583,157.2,58.3,137.42,49.61,50.31,36.56,61.68,58.81
ENSMLUG00000013532,0,0,0,0,160.95,142.99,0,0
ENSMLUG00000024240,40.45,15.87,36.55,58.26,71.08,82.53,19.9,16.74
ENSMLUG00000004093,0,7.59,4.79,4.06,0,0,0,0
ENSMLUG00000007169,27.45,21.76,31.08,20.73,49.97,31.39,0,22.39
ENSMLUG00000015715,0,0,0,0,0,0,20.41,0
ENSMLUG00000011611,17.69,9.14,6.24,8.43,0,17.5,52.3,0
ENSMLUG00000013940,0,0,4.95,4.57,0,0,18.92,0
ENSMLUG00000013223,15.11,9.91,10.43,12.44,10.7,11.33,22,12.47
ENSMLUG00000011225,0,6.18,0,0,0,0,10.7,0
ENSMLUG00000015429,25.03,18.78,17.42,11.05,17.27,81.08,23.57,34.86
ENSMLUG00000012356,18.57,6.33,2.78,0,0,0,0,0
ENSMLUG00000008117,69.41,60.68,57.87,34.06,40.61,22,33.86,17.04
ENSMLUG00000012701,99.6,43.4,36.73,26.62,57.18,46.46,46.01,35.09
ENSMLUG00000004532,0,0,0,0,0,22.11,0,0
ENSMLUG00000001564,16.12,32.27,13.81,19.58,36.97,65.16,39.75,57.04
ENSMLUG00000006892,0,0,5.11,4.03,0,0,0,0
ENSMLUG00000017190,0,18.88,0,6.74,0,0,0,0
ENSMLUG00000022760,0,0,1.29,0,0,0,0,0
ENSMLUG00000003823,25.13,26.77,19.44,26.92,31.18,49.81,60.38,30.06
ENSMLUG00000000662,2.2,0,2.12,1.69,0,7.44,6.97,2.73
ENSMLUG00000001744,0,0,0,2.54,0,0,0,0
ENSMLUG00000017724,28.59,33.13,5.68,10.05,31.51,0,0,7.44
ENSMLUG00000008795,105.39,0,0,0,0,0,0,0
ENSMLUG00000008287,26.26,7,55.47,10.95,26.34,48.92,0,46.25
ENSMLUG00000011137,0,0,39.3,13.82,0,0,16.77,33.33
ENSMLUG00000013991,0,44.82,0,0,0,0,0,0
ENSMLUG00000005098,26.11,38.87,0,26.98,11.44,73.97,20.74,13.2
ENSMLUG00000011642,22,14.19,10.72,0,16.48,17.14,15.28,39.1
ENSMLUG00000001845,89.43,20.52,15.64,24.53,72.51,47.68,31.54,28.9
ENSMLUG00000014456,14.11,3.79,9.95,7.35,9.79,44.47,0,4.72
ENSMLUG00000006880,64.49,23.99,33.12,15.94,42.18,41.62,29.48,15.57
ENSMLUG00000011870,65.39,42.23,49.93,53.6,73.79,90.83,56.9,56.74
ENSMLUG00000009801,33.65,62.34,18.37,11.4,29.03,0,16.08,21.38
ENSMLUG00000007144,0,0,0,16.9,0,0,0,0
ENSMLUG00000013239,25.63,26.42,17.36,20,35.08,36.2,22.65,32.84
ENSMLUG00000005552,40.07,15.89,16.37,7.2,26.32,14,21.48,24.91
ENSMLUG00000024982,75.74,37.13,66.45,36.56,34.07,76.32,72.54,38.04
ENSMLUG00000016468,0,10.14,12.22,15.78,15.88,22.4,9.2,14.52
ENSMLUG00000006357,48.39,47.32,50.38,17.53,37.26,64.43,52.55,55.55
ENSMLUG00000011505,0,12.77,0,0,0,0,0,0
ENSMLUG00000013564,0,0,0,0,0,0,4.8,0
ENSMLUG00000000491,28.38,15.82,23,19.11,50.53,11.18,18.06,23.28
ENSMLUG00000017212,21.13,10.02,17.79,32.26,30.74,31.78,15.06,7.68
ENSMLUG00000002455,28.96,34.87,9.08,14.64,18.71,23.05,34.05,15.58
ENSMLUG00000000267,34.87,19.21,10.68,14.7,35.92,48.88,29.49,16.02
ENSMLUG00000016242,11.38,9.05,10.27,15.15,30.07,28.38,18.74,10.36
ENSMLUG00000017206,9.58,0,0,0,0,17.83,0,0
ENSMLUG00000025030,17.72,18.65,22.51,23.51,30.22,27.49,22.83,35.11
ENSMLUG00000014997,38.43,26.64,42.53,20.85,33.41,54.54,69.92,57.36
ENSMLUG00000010327,0,0,0,0,0,6.9,0,5.21
ENSMLUG00000016322,13.47,6.79,5.88,8.43,27.94,18.15,5.63,10.39
ENSMLUG00000017794,5.97,0,1.77,0,0,8.84,0,0
ENSMLUG00000009081,49.43,15.35,34.51,28.33,48.87,35.61,31.56,77.46
ENSMLUG00000012010,224.47,193.11,0,55.03,0,0,251.72,0
ENSMLUG00000011938,11.59,16.19,24.82,32.41,36.77,36.36,30.7,30.13
ENSMLUG00000000631,0,0,0,0,4.73,0,0.72,0
ENSMLUG00000017548,30.23,31.42,21.6,17.46,23.47,22.03,69.79,25.8
ENSMLUG00000011355,82.03,69.1,108.09,39.38,182.41,162.92,143.67,98.15
ENSMLUG00000003528,120.59,108.83,83.17,82,140.09,102.04,123.59,112.36
ENSMLUG00000013689,43.21,43.44,38.69,23.21,30.13,25.89,49.45,44.01
ENSMLUG00000016485,29.71,8.13,32.48,27.67,16.22,7.5,11.41,8.18
ENSMLUG00000005630,27.36,15.17,10.94,15.3,23.65,27.82,21.59,26.39
ENSMLUG00000002003,0,0,4.29,0,0,0,0,0
ENSMLUG00000004263,55.75,21.56,18.07,15.47,56.44,29.56,29.9,36.99
ENSMLUG00000030756,756.67,829.4,1669.25,295.28,863.39,415.44,351.33,477.26
ENSMLUG00000003472,0,23.26,7.86,0,0,0,0,0
ENSMLUG00000004276,17.16,21.75,24.69,34.13,60.16,15.06,27.79,18.71
ENSMLUG00000007690,0,12.09,21.94,7.61,0,0,0,0
ENSMLUG00000023784,0,0,0,0,0,18.63,0,4.05
ENSMLUG00000016412,10.43,0,6.01,0,15.58,12.85,0,13.02
ENSMLUG00000012495,23.47,25.84,39.39,19.72,10.04,30.2,15.58,6.78
ENSMLUG00000009730,774.83,537.8,743.52,642.92,619.59,322.95,445.91,313.58
ENSMLUG00000017538,122.33,148.94,180.64,88.89,97.18,162.14,123.35,127.34
ENSMLUG00000000332,8.07,0,0,0,0,0,12.03,4.61
ENSMLUG00000004813,35.49,44.18,27.53,21.05,37.62,32.08,55.88,21.08
ENSMLUG00000000931,7.22,11.24,11.99,11.46,200.1,28.81,33.27,27.18
ENSMLUG00000002200,24.1,15.04,14.11,7.57,29.51,22.19,9.7,16.18
ENSMLUG00000008732,23.5,11,12.83,15.24,24.39,27.94,23.34,22.47
ENSMLUG00000013000,35.82,26.42,33.19,26.47,26.82,17.1,15.98,48.78
ENSMLUG00000013027,117.69,91.29,126.59,117.81,86.19,161.03,90.47,91.71
ENSMLUG00000005408,227.11,110.51,101.42,85.28,170.73,146.46,202.13,220.56
ENSMLUG00000008536,0,5.85,8.12,8.14,14.62,0,0,4.86
ENSMLUG00000012970,55.57,47.11,28.15,20.92,95.74,36.12,50.46,32.31
ENSMLUG00000000542,14.12,5.92,0,16.96,19.8,20.74,11.04,11.47
