ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000017647,140.21,106.31,144.72,71.18,106.75,116.45,117.94,179.46
ENSMLUG00000007259,23.37,15.54,19.83,23.41,22.76,27.59,13.52,27.19
ENSMLUG00000012241,60.15,26.99,17.83,14.62,46.35,28.23,19.43,14.19
ENSMLUG00000000170,0,0,0,0,0,0,221.68,0
ENSMLUG00000004488,39.84,10.8,18.44,14.04,13.87,39.13,33.68,36.48
ENSMLUG00000014482,0,6.92,0,0,0,0,0,7.36
ENSMLUG00000003506,20.11,13.36,38.17,56.74,29.12,12.1,8.6,10.22
ENSMLUG00000015397,230.59,245.65,199.47,158.81,158.85,176.42,157.08,172.61
ENSMLUG00000026105,0,0,7.36,4.08,13.65,11.11,6.78,7.54
ENSMLUG00000004068,0,0,7.5,11.48,0,0,0,0
ENSMLUG00000009329,0,0,0,3.04,0,0,0,0
ENSMLUG00000001596,124.57,74.01,83.23,143.19,92.18,140.29,48.34,46.54
ENSMLUG00000012777,0,0,5.45,0,0,0,0,13.52
ENSMLUG00000012733,0,0,0,0,0,0,0,8.03
ENSMLUG00000013370,5.28,3.32,0,2.37,0,5.84,0,5.57
ENSMLUG00000003476,23.29,10.19,18.86,9.59,28.44,0,55.03,165.84
ENSMLUG00000008202,35.91,44.89,37.87,29.91,44.41,143.3,79.92,111.81
ENSMLUG00000008683,13.83,21.7,18.2,4.4,18.52,14.25,10.68,19.09
ENSMLUG00000000574,21.87,9.08,10.28,10.06,18.05,15,10.37,8.54
ENSMLUG00000010821,32.16,14.7,17.62,22.2,57.06,18.35,14.47,30.27
ENSMLUG00000009121,0,0,3.23,3.38,0,0,8.58,10.12
ENSMLUG00000007998,11.54,11.75,17.12,11.01,24.07,27.61,10.82,10.12
ENSMLUG00000012920,0,0,0,3.09,12.19,0,0,0
ENSMLUG00000006243,0,5.24,0,0,0,0,0,0
ENSMLUG00000022764,0,0,0,1.2,0,0,0,0
ENSMLUG00000027990,301.62,191.65,912.36,320.04,276.31,329.88,237.64,190.85
ENSMLUG00000012962,25.68,0,7.8,7.61,6.55,7.99,8.37,0
ENSMLUG00000017155,0,32.82,38.78,36.27,84.35,72.99,87.03,48.24
ENSMLUG00000007229,12.14,18.5,20.73,21.56,37.88,54.69,13.14,12
ENSMLUG00000003421,260.63,66.57,60.96,38.48,130.56,100.18,143.79,123.73
ENSMLUG00000004527,8.25,11.82,16.89,17.43,0,13.56,5.73,4.55
ENSMLUG00000010139,0,29.92,91.86,55.98,71.84,53.09,48.37,157.11
ENSMLUG00000015362,51.2,75.17,92.73,69.09,185.96,0,98.18,55.58
ENSMLUG00000002309,0,4.55,4.98,6.3,12.89,0,7.42,0
ENSMLUG00000012087,12.95,7.25,17.13,18.64,9.77,7.97,15.88,8.68
ENSMLUG00000024705,9.94,0,4.48,9.52,12.35,0,0,3.77
ENSMLUG00000001739,17.34,19.81,9.27,15.12,28.57,58.07,35.37,42.5
ENSMLUG00000006053,74.77,92.59,87.04,86.36,55.47,205.04,50.75,63.7
ENSMLUG00000016650,78.71,68.2,35.03,15.61,83.41,58.02,46.85,83.04
ENSMLUG00000008649,81.27,51.25,78.55,41.42,65.63,39.27,85.82,71.95
ENSMLUG00000004775,73.53,30.07,12.64,6.75,30.62,23.44,9.46,20.79
ENSMLUG00000016844,22.67,14.26,19.92,22.62,41.97,20.03,20.63,21.35
ENSMLUG00000006435,19.06,34.37,28.95,6.89,22.6,18.87,28.35,12.62
ENSMLUG00000002495,26.03,48.17,106.1,90.53,94.18,113.45,72.08,30.9
ENSMLUG00000010907,0,25.14,53.7,0,57.14,71.23,78.7,62
ENSMLUG00000010351,12.29,0,3.45,2.85,0,16.5,0,10.59
ENSMLUG00000014330,28.55,34.24,48.47,31.2,18.65,50.76,25.84,24.67
ENSMLUG00000006699,0,0,10.82,2.87,0,14.38,14.53,11.6
ENSMLUG00000012349,14.27,18.4,31.11,39.14,31.88,65.54,20.85,18.61
ENSMLUG00000011592,15.68,11.92,31.34,28.22,10.47,24.87,0,6.11
ENSMLUG00000017480,24.94,17.3,17.81,16.1,18.38,22.23,25.69,32.51
ENSMLUG00000002571,232.3,129.52,124.98,76.08,196.18,205.28,231.09,282.61
ENSMLUG00000026414,0,0,0,0,0,19.52,0,0
ENSMLUG00000013210,8.32,8.72,14.82,15.9,17.16,23.94,10.61,24.3
ENSMLUG00000005400,29.59,9.39,10.42,6.4,39.44,0,17.81,0
ENSMLUG00000011808,0,0,0,0,0,0,28.74,18.46
ENSMLUG00000012001,22.08,0,0,0,8.29,5.1,0,0
ENSMLUG00000010009,98.98,65.21,39.58,34.8,38.04,59.79,52.88,32.4
ENSMLUG00000000963,11.09,14.4,4.82,5.4,7.75,15.15,4.35,12.98
ENSMLUG00000016371,0,3.47,6.55,2.68,8.93,7.04,4.83,2.9
ENSMLUG00000012576,32.93,33.96,26.35,14.47,0,21.86,20.28,14.77
ENSMLUG00000007970,8.95,0,0,0,0,0,0,0
ENSMLUG00000015124,15.9,0,0,121.91,31.36,45.12,37.81,27.93
ENSMLUG00000004944,30.79,9.57,9.75,7.02,89.81,14.49,33.09,10.08
ENSMLUG00000004740,7.9,17.89,4.1,1.6,9.48,0,7.94,0
ENSMLUG00000029926,8.21,8.31,2.99,2.88,9.05,0,2.6,6.23
ENSMLUG00000028167,0,0,0,0,8.33,0,0,0
ENSMLUG00000026117,0,11.37,11.32,12.99,0,0,5.8,7.56
ENSMLUG00000008170,0,0,0,7.56,0,0,0,17054.23
ENSMLUG00000017326,18.73,11.27,8.67,8.25,27.02,20.93,17.02,13.79
ENSMLUG00000002680,34.66,31.2,42.03,23.89,11.58,89.71,91.07,46.47
ENSMLUG00000029195,82.78,76.59,83.2,34.64,73.95,60.9,36.99,26.87
ENSMLUG00000001219,98.83,56.14,66.35,64.32,63.27,200,155.78,69.5
ENSMLUG00000000222,5.2,0,1.12,5.16,0,0,0,0
ENSMLUG00000003658,54.25,38.04,44.95,56.33,56.63,64.91,44.85,41.76
ENSMLUG00000000552,14.58,10.22,10.31,9.85,39.45,8.98,12.28,29.54
ENSMLUG00000000325,0,0,9.71,0,0,0,0,0
ENSMLUG00000005123,10.53,9.14,7.55,5.48,9.1,0,6.39,0
ENSMLUG00000012724,4.69,4.9,10.87,14.17,14.96,11.94,8.32,3.8
ENSMLUG00000013810,0,0,4.62,9.86,34.36,41.38,0,18.52
ENSMLUG00000001626,0,0,5.34,4.47,0,0,0,0
ENSMLUG00000009732,61.48,111.12,75.27,96.69,185.88,75.09,79.31,141.25
ENSMLUG00000008250,0,5.71,10.11,10.01,11.23,7.81,13.4,0
ENSMLUG00000003414,53.32,27.32,13.43,19.5,58.45,58.2,40.7,36.1
ENSMLUG00000017698,0,5.23,10.63,6.29,0,0,0,0
ENSMLUG00000009813,28.03,20.85,18.25,26.5,12.91,19.14,10.36,10.12
ENSMLUG00000015169,35.44,33.95,103.71,90.04,71.53,31.82,187.67,23.45
ENSMLUG00000017358,16.41,26.41,21.7,54.42,22.97,48.33,56.86,8.47
ENSMLUG00000010737,52.1,31.82,29.12,35.31,36.92,55.99,38.54,36.41
ENSMLUG00000007088,23.88,44.95,51.09,35.69,37.04,36.26,13.73,26.24
ENSMLUG00000000263,3.44,4.94,0,5.62,7.66,5.66,0,18.77
ENSMLUG00000013135,36.93,5.93,5.22,11.54,13.68,22.57,4.18,11.75
ENSMLUG00000024907,0,0,0,0,0,0,0,6.38
ENSMLUG00000003493,220.32,423.5,231.72,193.44,287.29,291.38,204.25,152.59
ENSMLUG00000007023,13.81,8.64,4.79,5.14,15.1,9.99,8.89,9.01
ENSMLUG00000002420,52.96,10.98,35.26,34.71,53.84,134.07,44.39,26.11
ENSMLUG00000005698,0,2.49,4.68,3.82,21.08,0,0,0
ENSMLUG00000015374,16.91,4.35,16.28,4.24,42.91,0,15.6,0
ENSMLUG00000003487,9.15,10,0,8.11,0,0,0,16.08
ENSMLUG00000009457,0,0,2.61,0,0,6.93,0,21.13
ENSMLUG00000024046,8.95,8.82,6.64,5.7,10.96,0,6.01,7.12
ENSMLUG00000024674,212.63,176.59,159.27,85.36,280.46,232.24,142.59,209.24
ENSMLUG00000027100,20.01,23.99,107.47,132.7,65.73,92.83,34.41,65.05
ENSMLUG00000015063,8.17,9.67,8,8.43,15.49,25.05,3.97,0
ENSMLUG00000004260,147.16,104.59,24.88,19.71,98.46,56.74,115.56,31.82
ENSMLUG00000002028,89.76,80.22,98.82,96.39,76.21,108.27,68.93,89.1
ENSMLUG00000009534,20.6,6.74,0,14.59,41.6,17.69,14.32,0
ENSMLUG00000015239,37.94,35.81,23.06,17.81,40.66,61.9,36.8,32.94
ENSMLUG00000023028,10.94,58.42,31,22.11,18.72,23.16,18.8,0
ENSMLUG00000014949,52.02,48.91,22.06,43.49,50.51,84.66,56.38,34.36
ENSMLUG00000000738,17.57,14.83,32.23,25.18,25.67,40.31,33.64,19.89
ENSMLUG00000026088,0,10.44,0,0,0,0,0,14.3
ENSMLUG00000009374,767.45,1202.32,1063.93,0,872.78,604.15,798.56,0
ENSMLUG00000012829,25.23,27.5,20.34,23.38,22.42,15.03,18.49,19.54
ENSMLUG00000011011,11.22,4.98,3.41,10.97,7.32,8.43,9.4,5.23
ENSMLUG00000005433,11.65,10.59,10.43,8.66,0,13.71,19.56,20.14
ENSMLUG00000000971,30.4,7.98,15.09,16.3,57.76,10.48,26.58,30.95
ENSMLUG00000013471,104.25,31.66,21.22,28.7,147.64,64.56,0,64.85
ENSMLUG00000014297,32.62,21.78,16.03,12.29,33.62,45.99,55.27,23.86
ENSMLUG00000005801,0,6.92,11.42,0,0,0,0,0
ENSMLUG00000005555,0,0,8.02,9.5,0,0,0,41.17
ENSMLUG00000013923,13.42,7.61,5.22,4.17,10.53,0,0,0
ENSMLUG00000015794,0,0,1.95,0,0,0,0,0
ENSMLUG00000029476,0,0,43.24,18.58,55.99,36.81,0,0
ENSMLUG00000009587,5.52,0,4.17,6.4,8.71,0,0,10.75
ENSMLUG00000015344,17.64,16.59,11.33,6.18,22.12,15.88,14.3,12.71
ENSMLUG00000028171,3.88,0,0,0,6.03,6.21,5.5,5.69
ENSMLUG00000023846,39.53,39.05,91.23,61.64,80.69,79.5,40.1,96.42
ENSMLUG00000013662,11.98,4.78,6.14,5.08,11.18,0,6.49,7.89
ENSMLUG00000008259,2.33,0,10.71,2.18,12.96,0,0,0
ENSMLUG00000007265,22.85,23.49,23.46,15.34,28.64,0,0,20.26
ENSMLUG00000005636,16.83,21.89,14,5.51,28.73,22.26,24.88,34.64
ENSMLUG00000011932,0,0,0,0,0,0,36.75,0
ENSMLUG00000012061,10.19,8.93,4.43,4.32,10.03,7.21,0,0
ENSMLUG00000007260,86.13,89.8,73.07,45.09,79.39,75.26,93.96,49.56
ENSMLUG00000007767,54.43,94.82,0,0,99.99,88.31,51.2,76.17
ENSMLUG00000011855,27.18,9.76,20.6,17.91,26.32,42.46,25.1,18.58
ENSMLUG00000007810,53.76,19.01,30.78,21.08,88.71,38.4,22.6,18.82
ENSMLUG00000004129,42.71,113.45,88.34,156.88,70.06,168.59,111.01,150.5
ENSMLUG00000003033,6.64,0,3.07,3.05,11.38,11.15,4.01,5.84
ENSMLUG00000008910,0,0,0,8.28,0,0,0,0
ENSMLUG00000000144,18.39,18.87,22.02,14.86,35.03,18.95,20.96,12.05
ENSMLUG00000010323,11.89,9.56,7.19,5.89,24.06,13.47,11.74,4.35
ENSMLUG00000005844,0,0,30.55,23,20.8,15.12,7.18,10.63
ENSMLUG00000009272,13.09,23.5,42.16,19.38,33.09,47.67,24.31,16.17
ENSMLUG00000014038,811.1,803.36,787.76,674.02,749.81,1792.09,2020.93,1735.05
ENSMLUG00000015175,17.35,25.54,24.59,15.88,12.46,29.78,18.6,15.42
ENSMLUG00000005913,2.34,11.72,14.08,28.36,0,0,0,0
ENSMLUG00000023234,12.52,12.11,8.45,7.02,34.94,18,7.4,8.69
ENSMLUG00000004841,2.76,0,5.75,14.7,29.36,10,0,7.16
ENSMLUG00000026041,160.34,167.07,379.35,550.92,89.36,232.66,60.47,83.15
ENSMLUG00000008547,4.43,4.11,2.86,1.61,17.42,15.89,0,7.29
ENSMLUG00000004074,16.06,5.8,14.09,10.94,18.55,9.47,13.63,6.84
ENSMLUG00000004437,77.78,46.86,76.77,43.82,63.72,49.7,49.12,44.65
ENSMLUG00000015319,4.52,0,0,0,16.67,0,5.88,3.98
ENSMLUG00000007061,0,0,0,52.26,0,0,89.98,77.05
ENSMLUG00000008742,0,15.46,12.94,15.71,0,34.57,0,34.77
ENSMLUG00000015745,39.42,14.44,20.86,24.07,40.83,153.31,44.62,16.81
ENSMLUG00000004468,0,0,0,17.22,42.53,54.19,16.78,0
ENSMLUG00000010484,16.83,12.26,4.36,7.91,21.04,0,16.98,13.11
ENSMLUG00000024424,10.95,3.71,10.46,9.99,14.1,0,11.62,30.69
ENSMLUG00000011817,47.16,0,0,0,0,0,0,0
ENSMLUG00000013638,8.46,4.88,8.33,5.6,10.08,9.1,5.85,9.42
ENSMLUG00000003386,22.18,29.87,16.8,8.73,55.92,0,24.27,15.78
ENSMLUG00000011598,85.77,75.63,46.29,35.83,79.95,54.64,61.36,38.36
ENSMLUG00000009887,0,0,51.82,5.48,0,0,0,0
ENSMLUG00000015195,18.3,22.02,9.21,10.83,27.77,10.58,9.23,9.26
ENSMLUG00000001049,13.12,18.18,11.5,8.33,10.57,17.08,12.52,8.26
ENSMLUG00000015865,18.86,16.36,22.29,15.74,23.89,23.9,21.8,19.64
ENSMLUG00000030376,17.88,4.92,0,5.61,0,0,26.73,9.71
ENSMLUG00000000546,24.58,0,0,0,21.21,22.78,16.98,0
ENSMLUG00000000232,12.55,9.15,9.41,11.81,23.32,18.71,14.52,12.12
ENSMLUG00000008297,0,0,1.76,0,14.58,13.38,8.06,0
ENSMLUG00000027552,0,0,0,0,0,3.84,0,0
ENSMLUG00000000128,18.72,5.04,6.55,6.36,11.68,10.07,13.61,8.17
ENSMLUG00000017353,18.45,7.23,5.63,4.81,7.82,0,17.58,0
ENSMLUG00000010205,0,0,1.09,0,0,0,10.11,0
ENSMLUG00000016959,7.85,0,6.34,0,0,0,0,19.72
ENSMLUG00000015146,0,8.02,18.22,21.28,0,0,0,0
ENSMLUG00000005082,159.27,82.97,157,82.89,203.86,92.16,147.39,117.33
ENSMLUG00000001965,85.47,62.56,49.32,45.97,37.75,56.85,19.53,41.36
ENSMLUG00000017213,83.48,134.06,126.33,126.73,68.73,62.09,90.57,48.74
ENSMLUG00000022556,19.19,29.32,25,25.38,37.15,47.61,34.87,34.3
ENSMLUG00000007686,125.81,245.84,198.87,168.48,359.67,154.15,171.24,110.79
ENSMLUG00000011843,43.08,24.35,19.04,17.03,31.81,0,26.15,13.7
ENSMLUG00000002006,0,0,4.4,3.23,10.93,0,0,0
ENSMLUG00000002439,0,0,15.14,13.94,0,0,72.34,0
ENSMLUG00000009368,0,5.6,8.96,14.7,0,25.14,15.32,10.03
ENSMLUG00000017091,42.51,81.74,104.14,93.99,68.26,31.66,35,29.42
ENSMLUG00000002742,47.62,19.48,21.77,16.1,83.83,34.04,0,26.61
ENSMLUG00000014143,16.17,10.52,13.16,13.16,45.74,39.32,28.37,28.02
ENSMLUG00000006036,31.05,27.21,19.83,19.26,28.31,27.13,34.12,31.04
ENSMLUG00000013527,21.75,0,0,6.11,16.76,13.18,21.87,6.82
ENSMLUG00000014551,0,0,0,0,23.68,0,0,0
ENSMLUG00000001527,7.9,0,7.25,6.84,0,0,6.79,10.09
ENSMLUG00000005703,0,0,2.78,3.87,0,0,0,0
ENSMLUG00000016216,33.93,34.48,19.06,7.88,0,40.72,106.04,23.48
ENSMLUG00000017598,0,0,12.02,9.7,0,0,0,0
ENSMLUG00000017462,98.62,154.35,91.8,30.13,52.01,20.41,65.52,58.28
ENSMLUG00000003593,65.95,50.47,42.97,50.13,103.92,55.49,72.01,66.82
ENSMLUG00000003576,35.31,10.26,27.2,18.8,18.85,11.79,20.09,8.13
ENSMLUG00000012678,42.19,17.98,0,0,0,0,9,26.96
ENSMLUG00000003628,1290.16,1457.97,1548.61,1113.46,624.99,2423.62,2661.46,1316.24
ENSMLUG00000017469,20.59,10.33,11.22,11.84,14.14,14.91,15.09,16.77
ENSMLUG00000011467,26.61,9.77,9.96,8.54,14.62,21.91,33.01,17.65
ENSMLUG00000009911,39.37,10.57,6.57,6.88,22.38,25.39,45.42,31.71
ENSMLUG00000010812,0,0,0,0,0,0,8.47,0
ENSMLUG00000013220,21.08,9.6,5.91,9.92,14.85,11.02,17.19,14.16
ENSMLUG00000009029,0,0,1.82,0,0,0,0,0
ENSMLUG00000028199,0,24.95,0,5.14,14.11,0,0,3.07
ENSMLUG00000014544,0,0,2.84,0,0,0,0,0
ENSMLUG00000016012,8.38,11.77,16.27,14.09,109.29,37.55,42.13,28.82
ENSMLUG00000002913,28.83,9.55,5.97,0,11.73,20.63,26.22,18.03
ENSMLUG00000012066,10.56,0,5.17,3.47,0,9.61,9.28,8.63
ENSMLUG00000017591,6.87,0,23.8,4.85,0,12.85,0,0
ENSMLUG00000029331,26.73,0,161.16,37.91,73.14,40.92,31.23,30.13
ENSMLUG00000016723,0,0,3.59,0,19.63,13.37,10.54,12.63
ENSMLUG00000010333,50.33,10.58,33.62,16.32,14.06,16.18,29.57,12.72
ENSMLUG00000005653,33.85,19.08,16.27,16.73,66.85,49.48,20.51,16.34
ENSMLUG00000006642,39.69,0,2.98,5.27,134.59,0,19.22,19.73
ENSMLUG00000001796,28.06,29.92,16.3,12.92,0,0,0,21.75
ENSMLUG00000024001,0,0,27.99,11.86,0,0,0,0
ENSMLUG00000016316,19.42,11.55,15.69,20.04,25.28,48.54,20.39,14.75
ENSMLUG00000010779,0,4.59,6.93,3.72,11.97,0,0,0
ENSMLUG00000009997,13.86,13.72,10.46,12.8,9.93,24.15,10.84,9.17
ENSMLUG00000006574,22.45,0,0,7.58,6.32,0,0,7.96
ENSMLUG00000017375,0,7.1,0,0,0,0,0,0
ENSMLUG00000002461,16.96,18.86,0,0,7.83,25.02,30.16,17.97
ENSMLUG00000004382,0,0,0,0,0,81.21,0,35.52
ENSMLUG00000003536,0,0,0,2.24,0,0,0,0
ENSMLUG00000013821,10.24,43.05,28.02,26.94,62.89,28.71,29.4,40.28
ENSMLUG00000016385,0,7.71,8.01,6.08,0,0,0,0
ENSMLUG00000005125,27.31,19.2,0,4.6,13.54,0,0,19.91
ENSMLUG00000011864,57.41,71.88,55.89,41.64,24.97,23.18,17.61,16.11
ENSMLUG00000014518,20.43,9.48,4.51,4.77,16.26,12.28,0,5.35
ENSMLUG00000029499,6.86,6.76,6.08,6.03,17.38,10.36,7.07,5.2
ENSMLUG00000011163,24.69,15.16,20.03,16.39,48.2,15.98,12.99,81.43
ENSMLUG00000022853,1.96,13.04,0,0,0,0,0,0
ENSMLUG00000007476,41.1,10.68,15.63,17.28,0,30.66,20.53,17.39
ENSMLUG00000008324,0,33.22,0,0,0,0,0,0
ENSMLUG00000007077,0,0,1.8,0,0,3.98,0,0
ENSMLUG00000004754,15.63,0,0,0,0,0,0,0
ENSMLUG00000006023,21.57,16.45,7.62,6.82,0,12.29,16.09,6.11
ENSMLUG00000004507,44.8,20.7,13.48,23.09,23.4,22.09,25.24,21.86
ENSMLUG00000001228,10.51,11.29,5.5,3.9,14.32,5.69,9.74,3.36
ENSMLUG00000011993,43.85,119.15,78.65,41.26,124.18,83.92,90.37,77.36
ENSMLUG00000004886,43.05,45.33,59.33,34.89,0,37.15,36.22,54.35
ENSMLUG00000002220,1.53,0,14.69,7.57,6.94,16.97,11.46,0
ENSMLUG00000002065,3.62,6.23,9.49,11.68,40.97,39.23,0,0
ENSMLUG00000013716,0,0,0,0,0,0,11.45,12.91
ENSMLUG00000015926,5.08,3.93,3.26,3.38,15.7,7.5,0,3.63
ENSMLUG00000007937,0,0,0,0,0,0,9.67,0
ENSMLUG00000011192,33.26,12.05,0,0,21.54,14.33,18.17,15.81
ENSMLUG00000012048,50.94,21.12,52.17,30.89,46.26,97.92,50.29,48.08
ENSMLUG00000007128,0,3.18,0,1.7,0,0,0,0
ENSMLUG00000013107,110.27,0,149.56,37.25,41.34,0,80.45,42.17
ENSMLUG00000008623,82.34,151.67,188.23,25.33,66.14,52.7,197.64,133.53
ENSMLUG00000017656,14.43,10.65,8.83,7.15,16.54,24.26,51.44,21.35
ENSMLUG00000002679,5.92,7.55,6.34,9.93,9.71,26.82,7.05,4.86
ENSMLUG00000011186,6.77,8.69,9.81,0,5.87,0,26.57,0
ENSMLUG00000015339,0,0,4.23,5.3,0,0,8.17,0
ENSMLUG00000028979,9.47,35.18,14.86,22.51,0,15.08,0,4.76
ENSMLUG00000013807,0,0,0,0,27.86,0,0,0
ENSMLUG00000009622,32.23,12.31,24.94,13.07,39.53,18.36,15.22,18.98
ENSMLUG00000013828,35.74,12.15,14.75,12.39,25.35,42.5,0,18.52
ENSMLUG00000006666,18.75,34.58,19.77,18.95,41.47,49.62,12.74,12.56
ENSMLUG00000012957,0,0,20.42,0,0,0,0,0
ENSMLUG00000012788,11.39,4.72,4.86,4.65,15.52,9.88,10.78,4.65
ENSMLUG00000001300,135.78,159,289.22,89.45,182.45,123.93,233.24,229.69
ENSMLUG00000026316,0,0,0,0,9.41,0,0,0
ENSMLUG00000002530,20.72,18.19,18.58,13.8,29.86,23.67,27.68,29.35
ENSMLUG00000000740,22.73,17.86,16.68,11.17,29.42,21.31,22.51,29.37
ENSMLUG00000000847,0,0,0,6.82,0,0,0,16.81
ENSMLUG00000015693,1.91,3.89,2.84,1.63,0,11.63,5.36,5.51
ENSMLUG00000012992,38.37,57.24,12.44,10.61,58.97,13.11,21.78,24.02
ENSMLUG00000005170,0,0,8.73,0,0,0,0,0
ENSMLUG00000004018,23.78,16.92,11.13,9.55,35.45,0,34.76,20.45
ENSMLUG00000013866,19.36,24.03,25.82,19.94,24.24,27.81,27.95,23.27
ENSMLUG00000005402,23.83,0,19.93,9.31,22.97,0,0,0
ENSMLUG00000005729,13.59,8.38,12.44,14.27,21.98,0,0,15.95
ENSMLUG00000012443,11.26,9.9,7.76,7.09,13.43,7.8,7.55,11.18
ENSMLUG00000001138,48.47,4.58,15.42,7.16,0,4.33,13.36,7.85
ENSMLUG00000027075,11.42,8.69,5.15,3.65,10.22,9.68,10.88,4.9
ENSMLUG00000025206,0,30.52,0,0,0,0,5.54,0
ENSMLUG00000027807,7.22,6.47,2.79,4.8,5.36,16.58,9.77,6.27
ENSMLUG00000016196,58.9,75.13,91.45,37.58,82.11,71.2,91.6,68.13
ENSMLUG00000017791,147.22,202.45,246.44,298.39,254.85,269.67,363.64,310.59
ENSMLUG00000003963,19.9,0,12.94,9.74,30.23,10.5,0,0
ENSMLUG00000010997,23.28,15.52,19.54,11.19,22.4,16.08,51.46,23.87
ENSMLUG00000004214,0,0,0,0,0,4.46,0,2.88
ENSMLUG00000009947,0,0,0,0,9.15,0,0,0
ENSMLUG00000007604,25.91,43.87,36.94,50.57,42.35,51.85,47.09,98.36
ENSMLUG00000001078,0,6.79,10.22,0,0,0,28.19,16.34
ENSMLUG00000001494,18.53,6.11,10.56,10.67,14.05,15.92,19.53,34.56
ENSMLUG00000002059,13.37,3.82,5.97,6.27,18.42,13.6,6.71,12.95
ENSMLUG00000010630,24.72,37.28,17.1,14.9,36.34,10.15,9.46,6.98
ENSMLUG00000006339,0,0,0,0,0,0,21.18,8.99
ENSMLUG00000015453,36.91,12.75,11.42,9.82,29.82,48.51,22.1,0
ENSMLUG00000002618,31.77,18.77,14.06,16.68,25.98,12.64,18.5,17.65
ENSMLUG00000005270,0,58.34,0,0,0,0,0,34.26
ENSMLUG00000012849,1.89,0,4.97,5.64,14.59,17.23,5.65,7.78
ENSMLUG00000009981,7.86,0,11.05,0,0,0,0,0
ENSMLUG00000009777,0,0,5.76,2.73,17.35,0,6.38,18.15
ENSMLUG00000010462,11.02,7.26,8.1,13.33,34.09,12.66,8.57,8.06
ENSMLUG00000011070,0,0,0,0,169.84,164.28,103.08,118.72
ENSMLUG00000000646,0,0,0,0,0,2.54,0,0
ENSMLUG00000000018,20.53,12.64,21.49,17.46,16.86,10.58,15.94,19.67
ENSMLUG00000005906,0,0,2.69,4.43,0,0,0,0
ENSMLUG00000023528,7.8,14.28,7.88,6.95,11.79,5.42,6.22,7.42
ENSMLUG00000008783,18.2,12.26,51.58,118.19,52.44,29.31,19.74,10.24
ENSMLUG00000012913,0,0,0,3.71,15.81,0,0,0
ENSMLUG00000008808,32.59,26.18,31.65,29.38,20.83,38.71,40.51,0
ENSMLUG00000003416,82.19,77.55,122.11,32.93,61.65,89.6,82.93,68.58
ENSMLUG00000012605,15.88,15.59,14.89,17.87,21.78,17.56,18.24,25.16
ENSMLUG00000005608,43.18,17.02,27.52,28.06,68.64,26.77,27.05,20.7
ENSMLUG00000028076,26.58,14.15,17.11,15.88,70.86,30.2,29.18,20.32
ENSMLUG00000004937,41.64,20.29,14.66,15.15,30.12,36.06,43.86,98.51
ENSMLUG00000022522,21.44,8.98,22.83,18.14,12.05,16.44,8.27,13.73
ENSMLUG00000003285,15.61,25.68,30.67,33.3,31.61,27.94,32.78,21.74
ENSMLUG00000014778,23.26,22.48,18.56,16.62,24.11,22.71,17.62,62.44
ENSMLUG00000008225,0,157.82,0,20.03,0,0,356.04,164.54
ENSMLUG00000012383,61.08,28.55,61.01,46.09,28.38,46.33,86.39,39.85
ENSMLUG00000005283,0,14.44,25.69,0,26.91,0,0,0
ENSMLUG00000015482,0,0,1.16,0,0,0,0,0
ENSMLUG00000001384,8.08,0,0,0,0,22.31,0,0
ENSMLUG00000027842,44.63,33.31,26.29,25,34.75,16.71,16.48,19.79
ENSMLUG00000009924,11.58,13.85,8.15,6.6,15.02,0,10.82,7.14
ENSMLUG00000025120,15.04,23.02,35.14,34.23,17.02,17.92,12.27,9.73
ENSMLUG00000002893,0,0,4.4,6.71,0,0,0,4.37
ENSMLUG00000029585,0,228.37,161.06,66.5,126.42,0,0,0
ENSMLUG00000012182,7.09,5.4,13.2,9.34,48.29,57.99,24.36,25.81
ENSMLUG00000012664,14.92,9.89,15.31,9.69,9.26,5.24,11.15,11.54
ENSMLUG00000027696,1.86,2.72,0,0,3.62,10.56,2.98,0
ENSMLUG00000010568,31.31,10.79,17.55,21.73,27.84,33.55,14.64,14.75
ENSMLUG00000011688,75.76,36.36,12.09,12.5,36.14,29.33,32.17,35.26
ENSMLUG00000000005,92.77,74.65,80.7,46.75,63.47,71.66,131.06,58.74
ENSMLUG00000015330,36.94,0,43.04,82.21,15.01,10.95,0,7.45
ENSMLUG00000014852,112.73,130.67,89.92,28.93,75.32,57.03,61.45,50.99
ENSMLUG00000013930,37.15,19.89,19.78,20.43,27.58,20.44,19.14,34.46
ENSMLUG00000001025,90.08,111.19,108.7,67.92,87.93,124.15,105.49,143.88
ENSMLUG00000014105,17.53,13.52,11.83,13.71,27.86,15.44,22.24,15.91
ENSMLUG00000017163,7.02,7.44,3.27,6.21,13.35,6.48,0,6.59
ENSMLUG00000014103,49.07,31.77,36.04,59.83,152.27,40.39,57.17,7.46
ENSMLUG00000012465,0,0,4.94,6.27,0,5.81,4.99,3
ENSMLUG00000016924,0,23.56,20.46,22.98,25.26,58.48,18.74,23.95
ENSMLUG00000014749,0,0,0,6.19,9.41,10.43,0,0
ENSMLUG00000013307,101.91,52.98,64.75,47.38,77.26,57.23,76.5,63.54
ENSMLUG00000004071,0,0,0,0,27.52,0,0,40.29
